price,display_order,category_type,category_name,category_code,capacity,decks,en_description,de_description,es_description,gallery,vr
1666,1,Interior,Standard Interior,4VL,2,"2, 3",Two twin beds that convert to a Royal King and a private bathroom. Stateroom: 162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.,"Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen mit privatem Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_nmlk_2.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
1799,2,Interior,Standard Interior,4VU,2,6 - 12,Two twin beds that convert to a Royal King and a private bathroom. Stateroom: 162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.,"Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen mit privatem Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_nmlk_2.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
0,3,Interior,Standard Interior,3V,2,"2, 6 - 10",Two twin beds that convert to a Royal King and a private bathroom. Stateroom: 162 ft<sup>2</sup> / 15.05 m<sup>2</sup>,"Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen mit privatem Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_nmlk_2.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
1566,4,Interior,Standard Interior,3V,3,"2, 6 - 10","Two twin beds that convert to a Royal King, one Pullman Bed and a private bathroom. (162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.","Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen, ein Pullman-Bett und ein privates Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King, una cama pullman y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_k_3.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
1199,5,Interior,Standard Interior,3V,4,"2, 6 - 10","Two twin beds that convert to a Royal King, two Pullman Beds and a private bathroom. Stateroom: 162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.","Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen, zwei Pullman-Betten und ein privates Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King, dos camas pullman y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_k_4.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
2066,6,Interior,Standard Interior,2V,2,"2, 3, 6 - 10",Two twin beds that convert to a Royal King and a private bathroom. Stateroom: 162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.,"Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen mit privatem Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_nmlk_2.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
0,7,Interior,Standard Interior,1V,2,"2, 3, 9, 10",Two twin beds that convert to a Royal King and a private bathroom. Stateroom: 162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.,"Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen mit privatem Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_nmlk_2.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
0,8,Interior,Standard Interior,1V,3,"2, 3, 9, 10","Two twin beds that convert to a Royal King, one Pullman Bed and a private bathroom. (162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.","Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen, ein Pullman-Bett und ein privates Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King, una cama pullman y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_k_3.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
1399,9,Interior,Standard Interior,1V,4,"2, 3, 9, 10","Two twin beds that convert to a Royal King, two Pullman Beds and a private bathroom. Stateroom: 162 ft<sup>2</sup> / 15.05 m<sup>2</sup>.","Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen, zwei Pullman-Betten, privates Badezimmer. Kabinengr&ouml;&szlig;e: 15,05 m<sup>2</sup>","Dos camas individuales convertibles en una cama Royal King, dos camas pullman y baño privado. Camarote: 15,05 m<sup>2</sup>.",interior_k_4.gif,https://my.matterport.com/show/?m=WmFwSjX5ZLm&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
2199,10,Interior,Promenade,2T,2,6 - 8,Two twin beds that convert to a Royal King bed. Stateroom: 153 ft<sup>2</sup> / 14.21 m<sup>2</sup>.,"Aussicht auf die Royal Promenade mit Erkerfenster, Zwei Einzelbetten, die zu einem Royal-King-Bett kombiniert werden k&ouml;nnen mit privatem Badezimmer. Kabinengr&ouml;&szlig;e: 14,21 m<sup>2</sup>","Dos camas individuales que se convierten en una cama Royal King. Camarote: 14,21 m<sup>2</sup> (153 pies cuadrados)",promenade_bw.gif,https://my.matterport.com/show/?m=1xkdNoAbPVe&play=1&qs=1&title=1&tourcta=1&vrcoll=0&dh=1&mt=1
